workload,run,size,tuning_size,preliminary_selected_label,confirmation_used,confirmation_passed,selected_label,selected_speedup,fixed_speedup,selected_over_fixed,selected_regression,fixed_regression,search_wall_seconds,break_even_vs_serial_repetitions,break_even_vs_fixed_repetitions
large_payload,run_01,32,8,serial,True,False,serial,1.0,0.4497893231313588,2.2232630891239604,False,True,5.150701200000185,,41
large_payload,run_02,32,8,serial,True,False,serial,1.0,0.47358923166726785,2.1115344968455183,False,True,5.530952200000684,,50
large_payload,run_03,32,8,serial,True,False,serial,1.0,0.42405746179780396,2.358170979377349,False,True,5.110018699999273,,36
load_imbalance,run_01,64,16,serial,True,True,w4_c8,1.28645858042898,0.9363900105044413,1.373849107740859,False,True,7.825212500001726,84,65
load_imbalance,run_02,64,16,serial,True,False,serial,1.0,0.8689204838405057,1.1508532927893949,False,True,8.484066500001063,,134
load_imbalance,run_03,64,16,serial,True,True,w2_c8,1.1370146976165427,0.801076642456597,1.4193581954028165,False,True,9.241170299997975,192,63
mandelbrot,run_01,96,24,serial,True,False,serial,1.0,0.8554042843272068,1.1690378670321024,False,True,10.385544000000664,,150
mandelbrot,run_02,96,24,serial,True,False,serial,1.0,0.8973781515612951,1.1143574180630087,False,True,11.919321299998046,,193
mandelbrot,run_03,96,24,serial,True,False,serial,1.0,0.7961213042383821,1.256089988643955,False,True,11.137962999999218,,101
monte_carlo,run_01,16,4,serial,True,True,w4_c4,1.2516279563048949,1.2516279563048949,1.0,False,False,6.327203299999383,90,
monte_carlo,run_02,16,4,serial,True,True,w4_c4,1.2639643836824046,1.2639643836824046,1.0,False,False,6.602037599999676,92,
monte_carlo,run_03,16,4,serial,True,True,w4_c4,1.1868544434514072,1.1868544434514072,1.0,False,False,7.208361499999228,127,
pairwise_distance,run_01,16,4,serial,True,False,serial,1.0,0.6024377152911399,1.6599226353494987,False,True,10.373312399999122,,56
pairwise_distance,run_02,16,4,serial,True,False,serial,1.0,0.6032992517496405,1.6575521966915747,False,True,9.61775519999901,,56
pairwise_distance,run_03,16,4,serial,True,False,serial,1.0,0.6904235719773256,1.4483862379380656,False,True,12.476787300000069,,71
prime_count,run_01,32,8,serial,True,True,w4_c4,2.1153632901287036,2.1153632901287036,1.0,False,False,8.556614600001922,19,
prime_count,run_02,32,8,w4_c4,False,,w4_c4,2.136639180309235,2.136639180309235,1.0,False,False,6.273702599999524,12,
prime_count,run_03,32,8,w4_c16,True,True,w4_c4,2.080638198128477,2.080638198128477,1.0,False,False,10.760763500000394,21,
tiny_tasks,run_01,2000,200,serial,True,False,serial,1.0,1.002572896388726,0.9974337064187617,False,False,5.337065799998527,,
tiny_tasks,run_02,2000,200,serial,True,False,serial,1.0,1.0032761799340786,0.9967345183713084,False,False,5.547574700000041,,
tiny_tasks,run_03,2000,200,serial,True,False,serial,1.0,1.012780798979973,0.9873804884602421,False,False,5.607951100000719,,
word_count,run_01,32,8,serial,True,False,serial,1.0,0.5868517048683778,1.7040080001544604,False,True,5.417041900000186,,54
word_count,run_02,32,8,serial,True,False,serial,1.0,0.5667633258774276,1.7644049188466147,False,True,5.90138399999887,,50
word_count,run_03,32,8,serial,True,False,serial,1.0,0.561469046578923,1.7810420825388005,False,True,6.572009299999991,,56
