workload,feedback_mode,runs,accepted_runs,correct_rate,serial_fallback_rate,performance_regression_rate,measured_speedup_mean,measured_speedup_stdev,effective_speedup_mean,effective_speedup_stdev,model_calls_total,tokens_total,estimated_cost_upper_usd_total,pricing_snapshot_date
pairwise_distance,correctness,3,3,1.0,0.0,1.0,0.640268821684734,0.011214594288524336,0.640268821684734,0.011214594288524336,6,6865,0.00418612,2026-07-29
pairwise_distance,one_shot,3,3,1.0,0.0,1.0,0.6563539246760286,0.002816739901859245,0.6563539246760286,0.002816739901859245,6,6438,0.0038073300000000003,2026-07-29
pairwise_distance,performance,3,3,1.0,1.0,0.0,0.6500172043617742,0.018296642011351262,1.0,0.0,9,8445,0.0048873549999999995,2026-07-29
prime_count,correctness,3,3,1.0,0.0,0.0,2.045219969775071,0.04495784822343752,2.045219969775071,0.04495784822343752,6,4826,0.002551145,2026-07-29
prime_count,one_shot,3,3,1.0,0.0,0.0,2.0026673004996263,0.06581354070006329,2.0026673004996263,0.06581354070006329,6,4821,0.002562125,2026-07-29
prime_count,performance,3,3,1.0,0.0,0.0,2.0283408813723613,0.022022286852055276,2.0283408813723613,0.022022286852055276,6,5118,0.002817595,2026-07-29
tiny_tasks,correctness,3,3,1.0,0.0,0.0,1.0651461186455917,0.0362277291627167,1.0651461186455917,0.0362277291627167,6,5844,0.00345413,2026-07-29
tiny_tasks,one_shot,3,3,1.0,0.0,0.0,1.0900031899548215,0.018993964707505282,1.0900031899548215,0.018993964707505282,6,6417,0.00397733,2026-07-29
tiny_tasks,performance,3,3,1.0,0.3333333333333333,0.0,1.0688639797536377,0.02054101845378204,1.052629767210674,0.04684541545767963,8,9014,0.005765124999999999,2026-07-29
word_count,correctness,3,3,1.0,0.0,1.0,0.5638993826877895,0.021418212008462237,0.5638993826877895,0.021418212008462237,6,5328,0.00289381,2026-07-29
word_count,one_shot,3,3,1.0,0.0,1.0,0.5790087131604452,0.013949085137138221,0.5790087131604452,0.013949085137138221,6,5596,0.00319473,2026-07-29
word_count,performance,3,3,1.0,1.0,0.0,0.5985291183206244,0.006516934642145007,1.0,0.0,10,10947,0.006878485,2026-07-29
