run,workload,feedback_mode,status,correct,selected_mode,initial_end_to_end_speedup,final_measured_speedup,effective_speedup_after_fallback,repair_attempts,performance_attempts,model_calls,pro_calls,flash_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost_upper_usd,pricing_snapshot_date
run_01,pairwise_distance,correctness,accepted,True,parallel,0.6277283839390276,0.6277283839390276,0.6277283839390276,0,0,2,1,1,1045,1052,2097,0.0012155299999999998,2026-07-29
run_02,pairwise_distance,correctness,accepted,True,parallel,0.649335500983867,0.649335500983867,0.649335500983867,0,0,2,1,1,1021,1134,2155,0.00128351,2026-07-29
run_03,pairwise_distance,correctness,accepted,True,parallel,0.6437425801313075,0.6437425801313075,0.6437425801313075,0,0,2,1,1,1014,1599,2613,0.00168708,2026-07-29
run_01,pairwise_distance,one_shot,accepted,True,parallel,0.653557050530856,0.653557050530856,0.653557050530856,0,0,2,1,1,1014,1233,2247,0.0013686599999999998,2026-07-29
run_02,pairwise_distance,one_shot,accepted,True,parallel,0.6591901186601875,0.6591901186601875,0.6591901186601875,0,0,2,1,1,1038,1205,2243,0.00134766,2026-07-29
run_03,pairwise_distance,one_shot,accepted,True,parallel,0.6563146048370423,0.6563146048370423,0.6563146048370423,0,0,2,1,1,1038,910,1948,0.0010910100000000001,2026-07-29
run_01,pairwise_distance,performance,accepted,True,serial,0.6704740335948303,0.6704740335948303,1.0,0,1,3,2,1,1511,1213,2724,0.0015736500000000002,2026-07-29
run_02,pairwise_distance,performance,accepted,True,serial,0.635216513267524,0.635216513267524,1.0,0,1,3,2,1,1567,1293,2860,0.0016507949999999998,2026-07-29
run_03,pairwise_distance,performance,accepted,True,serial,0.6443610662229683,0.6443610662229683,1.0,0,1,3,2,1,1552,1309,2861,0.0016629099999999999,2026-07-29
run_01,prime_count,correctness,accepted,True,parallel,1.9976967111266135,1.9976967111266135,1.9976967111266135,0,0,2,1,1,939,574,1513,0.0007644749999999999,2026-07-29
run_02,prime_count,correctness,accepted,True,parallel,2.0870747755052133,2.0870747755052133,2.0870747755052133,0,0,2,1,1,925,641,1566,0.0008208050000000001,2026-07-29
run_03,prime_count,correctness,accepted,True,parallel,2.0508884226933857,2.0508884226933857,2.0508884226933857,0,0,2,1,1,942,805,1747,0.000965865,2026-07-29
run_01,prime_count,one_shot,accepted,True,parallel,2.021216129803838,2.021216129803838,2.021216129803838,0,0,2,1,1,925,596,1521,0.0007816550000000001,2026-07-29
run_02,prime_count,one_shot,accepted,True,parallel,1.92956986619112,1.92956986619112,1.92956986619112,0,0,2,1,1,925,700,1625,0.0008721350000000001,2026-07-29
run_03,prime_count,one_shot,accepted,True,parallel,2.0572159055039214,2.0572159055039214,2.0572159055039214,0,0,2,1,1,935,740,1675,0.000908335,2026-07-29
run_01,prime_count,performance,accepted,True,parallel,2.003670685123454,2.003670685123454,2.003670685123454,0,0,2,1,1,927,705,1632,0.0008767649999999999,2026-07-29
run_02,prime_count,performance,accepted,True,parallel,2.0353358314675445,2.0353358314675445,2.0353358314675445,0,0,2,1,1,935,757,1692,0.0009231249999999999,2026-07-29
run_03,prime_count,performance,accepted,True,parallel,2.0460161275260846,2.0460161275260846,2.0460161275260846,0,0,2,1,1,927,867,1794,0.001017705,2026-07-29
run_01,tiny_tasks,correctness,accepted,True,parallel,1.1068149483674548,1.1068149483674548,1.1068149483674548,0,0,2,1,1,850,1150,2000,0.0012180300000000002,2026-07-29
run_02,tiny_tasks,correctness,accepted,True,parallel,1.0411132928518771,1.0411132928518771,1.0411132928518771,0,0,2,1,1,880,1186,2066,0.00125355,2026-07-29
run_03,tiny_tasks,correctness,accepted,True,parallel,1.0475101147174435,1.0475101147174435,1.0475101147174435,0,0,2,1,1,908,870,1778,0.00098255,2026-07-29
run_01,tiny_tasks,one_shot,accepted,True,parallel,1.106992515260011,1.106992515260011,1.106992515260011,0,0,2,1,1,866,1563,2429,0.0015795800000000001,2026-07-29
run_02,tiny_tasks,one_shot,accepted,True,parallel,1.0694963328913045,1.0694963328913045,1.0694963328913045,0,0,2,1,1,878,1238,2116,0.00131444,2026-07-29
run_03,tiny_tasks,one_shot,accepted,True,parallel,1.0935207217131488,1.0935207217131488,1.0935207217131488,0,0,2,1,1,882,990,1872,0.0010833099999999999,2026-07-29
run_01,tiny_tasks,performance,accepted,True,serial,1.0487026376288917,1.0487026376288917,1.0,0,1,4,3,1,1946,2895,4841,0.0032055649999999996,2026-07-29
run_02,tiny_tasks,performance,accepted,True,parallel,1.068124592964256,1.068124592964256,1.068124592964256,0,0,2,1,1,857,1117,1974,0.0011902999999999998,2026-07-29
run_03,tiny_tasks,performance,accepted,True,parallel,1.0897647086677655,1.0897647086677655,1.0897647086677655,0,0,2,1,1,880,1319,2199,0.0013692600000000002,2026-07-29
