run,workload,replicate,status,shared_plan,template_correct,llm_correct,template_median_seconds,llm_median_seconds,template_speedup,llm_speedup,llm_over_template,conservative_llm_over_template,llm_code_repairs,llm_safety_rejections,model_calls,total_tokens,shared_model_calls,shared_tokens,llm_generation_calls,llm_generation_tokens,llm_generation_cost_upper_usd,estimated_cost_upper_usd,pricing_snapshot_date
run_01,pairwise_distance,1,completed,True,True,True,0.4776096999994479,0.45815050000055635,0.6258869951776884,0.6524705309718284,1.042473379378322,0.9887359918344891,1,0,4,3823,2,2198,2,1625,0.000906975,0.002254775,2026-07-29
run_02,pairwise_distance,2,completed,True,True,True,0.4566485000013927,0.45167139999830397,0.6234046536867518,0.6302741329227661,1.0110192941220264,0.9992430063975164,1,0,4,3327,2,1713,2,1614,0.00089697,0.00180032,2026-07-29
run_03,pairwise_distance,3,failed,True,True,False,,,,,,,2,0,5,5209,2,1997,3,3212,0.0018256949999999998,0.002952035,2026-07-29
run_01,prime_count,1,completed,True,True,True,0.433313100000305,0.43126679999841144,1.991596607622489,2.0010464519925266,1.0047448586394805,0.9743639117596083,1,0,4,3313,2,1687,2,1626,0.0009135,0.001838115,2026-07-29
run_02,prime_count,2,completed,True,True,True,0.4184043000004749,0.4168477000002895,2.029185646515846,2.0367630671846917,1.003734217557598,0.9957345680069667,0,0,3,2680,2,1831,1,849,0.000465015,0.00149885,2026-07-29
run_03,prime_count,3,completed,True,True,True,0.43817549999948824,0.4219080999992002,1.9227398610848678,1.9968744378252175,1.038556737830629,1.025545804342402,1,0,4,3260,2,1634,2,1626,0.0009135,0.001758425,2026-07-29
run_01,tiny_tasks,1,completed,True,True,True,0.27312369999890507,0.27620220000062545,0.9544887536357639,0.9438501938063957,0.9888541800111895,0.9780348092540353,1,0,4,3608,2,2008,2,1600,0.00092394,0.00213579,2026-07-29
run_02,tiny_tasks,2,completed,True,True,True,0.25807590000113123,0.2563257000001613,0.9908856270537802,0.9976514255103124,1.0068280316837868,0.9888974868549435,0,0,3,3223,2,2464,1,759,0.000422385,0.002039715,2026-07-29
run_03,tiny_tasks,3,completed,True,True,True,0.26301969999985886,0.2636044999999285,0.9550489944330447,0.9529302420900038,0.9977815249737018,0.9802291034723081,1,0,4,3258,2,1726,2,1532,0.0008752200000000001,0.0018388100000000002,2026-07-29
run_01,word_count,1,completed,True,True,True,0.2416613999994297,0.2388517999988835,0.5670884965508024,0.5737591259545847,1.0117629425466308,1.004406217491669,0,0,3,3195,2,2348,1,847,0.000450225,0.001912225,2026-07-29
run_02,word_count,2,completed,True,True,True,0.2919651000011072,0.2644225000003644,0.49883051090479097,0.5507893617211849,1.1041613327183006,1.0305696940915885,0,0,3,2753,2,1909,1,844,0.000447615,0.001547395,2026-07-29
run_03,word_count,3,completed,True,True,True,0.2645602000011422,0.26170529999944847,0.5329811513591889,0.5387953549306156,1.010908835249801,0.9867080924071268,0,0,3,2924,2,2080,1,844,0.000447615,0.001669885,2026-07-29
