benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.4202881380006147,0.0,0.4202881380006147,0.003400335001060739,100.92866102671141,1.0,1.0,0.4202881380006147,1.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.12001686599978711,0.0,0.12001686599978711,0.003366785003890982,429.74685622674826,3.50190895670747,3.50190895670747,3.037884766003117,0.1383489402573947,True,864,1.766700006555766e-05,576,1.324500044574961e-05,0.0002612549541885326
prime_count,large,optimized,optimized,4,4,0.12121275500248885,0.0,0.12121275500248885,0.0024865389968908858,366.2377087786947,3.4673590084804604,3.4673590084804604,3.0390806550058187,0.1382944994593472,True,448,1.3808999938191846e-05,160,7.804999768268317e-06,0.00018974072842203594
mandelbrot,large,serial,serial,1,1,0.13945086499734316,0.0,0.13945086499734316,0.003803900002822047,68.97099685011197,1.0,1.0,0.13945086499734316,1.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.059475426001881715,0.0,0.059475426001881715,0.000637492001260398,358.51101306554926,2.3446803893919337,2.3446803893919337,2.9773433260052116,0.046837347839373454,True,2016,2.4067998310783878e-05,165792,0.0003448290008236654,0.006187025900950186
mandelbrot,large,optimized,optimized,4,4,0.06502091900256346,0.0,0.06502091900256346,0.0014800680000917055,231.24969652621394,2.1447076900258097,2.1447076900258097,2.9828888190058933,0.046750272456959334,True,640,1.27240018628072e-05,156136,0.0001790000023902394,0.002905280368421588
tiny_tasks,large,serial,serial,1,1,0.11334873399755452,0.0,0.11334873399755452,0.0008976360004453454,493.4417593046322,1.0,1.0,0.11334873399755452,1.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.3471128850032983,0.0,0.3471128850032983,0.0009217440019710921,414.0127295126269,0.32654718074345607,0.32654718074345607,3.264980785006628,0.03471650875192652,True,35744,0.000393727001210209,40000,0.00042079799823113717,0.0023371647443389642
tiny_tasks,large,optimized,optimized,4,4,0.0356046079978114,0.0,0.0356046079978114,0.0022722539943060838,397.4484755320578,3.1835411305334977,3.1835411305334977,2.9534725080011413,0.038378123950869945,True,5808,1.7557998944539577e-05,10064,1.966299896594137e-05,0.0010434323434353595
word_count,large,serial,serial,1,1,0.022248065997700905,0.0,0.022248065997700905,0.000494124000397278,96.31459311155194,1.0,1.0,0.022248065997700905,1.0,True,0,0.0,0,0.0,0.0
