benchmark,mode,runs,all_correct,selected_modes,warm_runtime_mean_seconds,warm_runtime_stdev_seconds,warm_speedup_mean,warm_speedup_stdev,first_use_speedup_mean,first_use_speedup_stdev,task_count_mean,cpu_mean_percent,serialization_ratio_mean
large_payload,naive,3,True,naive,0.023956553999596508,0.00030202053154717743,0.4353705535537358,0.02253545384050594,0.003376404176567399,0.00037740641116598933,32.0,593.5408761104057,0.011063984773646772
large_payload,optimized,3,True,optimized,0.009912870998959988,0.0007093555764638848,1.0529715964900443,0.010235725685711551,0.003391792392103844,0.0003793845091708398,4.0,416.82019055238896,0.052342035020860996
large_payload,serial,3,True,serial,0.01043424599871893,0.0006682360143546472,1.0,0.0,1.0,0.0,1.0,80.18276803049868,0.0
load_imbalance,naive,3,True,naive,0.06604206533302204,0.0006712372479946501,2.869267673215102,0.02562099405681805,0.060369801155663205,0.002743792984853894,64.0,386.4240735223754,0.0007838319595647394
load_imbalance,optimized,3,True,optimized,0.1745032316672829,0.0029004362947098565,1.086024272343243,0.017562539585098128,0.05834841175340367,0.002519913023433206,4.0,119.38672938159651,0.00016433884160479883
load_imbalance,serial,3,True,serial,0.18948527466758,0.001594816141285456,1.0,0.0,1.0,0.0,1.0,95.88589397832737,0.0
mandelbrot,naive,3,True,naive,0.060563892333448166,0.0010309319946346877,2.240365419050851,0.09995124289000638,0.04331412346349042,0.003052820726743027,96.0,391.7481638781326,0.006358453672769192
mandelbrot,optimized,3,True,optimized,0.06492280900177623,0.00039640780532131917,2.0887920067446126,0.050381184196454966,0.04325276930310107,0.0030302463527908494,4.0,226.7940495053194,0.002957670326256374
mandelbrot,serial,3,True,serial,0.1356165766652945,0.0037304570714306227,1.0,0.0,1.0,0.0,1.0,67.39099985631496,0.0
monte_carlo_pi,naive,3,True,naive,0.04606279499906426,0.0016812862440297532,3.107678078990551,0.11546019241798099,0.04584916661523967,0.0017116485575301068,16.0,366.6904377509098,0.0005806645487011255
monte_carlo_pi,optimized,3,True,optimized,0.041892123333430696,0.0003686870457500442,3.414262079188404,0.044104999730248486,0.04590996581884871,0.0017025423481315707,4.0,387.509988915464,0.0006383164998941872
monte_carlo_pi,serial,3,True,serial,0.14302371499919295,0.001424163725516182,1.0,0.0,1.0,0.0,1.0,93.4723660396238,0.0
pairwise_distance,naive,3,True,naive,0.039599458999873605,0.0008628315251182954,0.696340359406746,0.05095466575070006,0.008880631376132056,0.0010885934427656717,16.0,487.3243527314237,0.010955846762621365
pairwise_distance,optimized,3,True,optimized,0.02931707199968514,0.0006924609135031977,0.941103890564282,0.07901601868759787,0.008910293323855713,0.0010946634348963744,4.0,385.89696882599225,0.01658506574934829
pairwise_distance,serial,3,True,serial,0.02757376400040812,0.002075585819406921,1.0,0.0,1.0,0.0,1.0,102.46441151478848,0.0
prime_count,naive,3,True,naive,0.12145751333324976,0.0016832461970909655,3.4441634091900704,0.06863595872941972,0.13096708641475915,0.006676208314952078,32.0,410.68092475472895,0.00025805129058144516
prime_count,optimized,3,True,optimized,0.11871169533454425,0.0023187037873875363,3.523815156932128,0.049710626257880475,0.1310699392327356,0.006525223069720951,4.0,353.73147573170877,0.000179504272019116
prime_count,serial,3,True,serial,0.4182425156674678,0.002586554452758994,1.0,0.0,1.0,0.0,1.0,101.12776647532326,0.0
tiny_tasks,naive,3,True,naive,0.34614234566834057,0.004074457218660206,0.32438678258048687,0.009774050275648384,0.03283688215609228,0.0016568354490329041,2000.0,417.32708263924866,0.002351410809282193
tiny_tasks,optimized,3,True,optimized,0.03471884499958833,0.0009079135033410078,3.233911279199212,0.0455060689000363,0.03613270756297638,0.0019620166291721168,4.0,383.1987103022088,0.0010557376254330731
tiny_tasks,serial,3,True,serial,0.11225955233264055,0.002235751802324175,1.0,0.0,1.0,0.0,1.0,226.1265727400122,0.0
word_count,naive,3,True,naive,0.018384215666931897,0.0005278686835063091,1.2197394449196102,0.04060573277437119,0.0072494095134333835,0.00030849377554609486,32.0,407.5588670576831,0.011664545599011257
word_count,optimized,3,True,optimized,0.01541699033380913,0.0008647712797377746,1.4569663706362412,0.090930157931905,0.007256384267809653,0.00030915901179143777,4.0,364.0950852193157,0.026595282503591288
word_count,serial,3,True,serial,0.022410118332724476,0.00019781699728907233,1.0,0.0,1.0,0.0,1.0,99.23579140602696,0.0
